('T022089', 'CAT119')
('T012270', 'CAT60.2')
('T190887', 'MEIS1-AS2')
('T141420', 'CAT1900')
('T199191', 'KCCAT253')
('T263264', 'CAT534')
('T169313', 'BRCAT393')
('T103473', 'BRCAT153')
('T139443', 'CAT1890')
('T146150', 'HICLINC341')
('T018335', 'LACAT58.1')
('T019914', 'THCAT208')
('T320554', 'HOXA-AS2.1')
('T084495', 'LVCAT53')
('T187566', 'CAT228.1')
('T054064', 'CAT1331')
('T346024', 'AMAT104')
('T116533', 'CAT1743.2')
('T140992', 'UTAT34')
('T371304', 'THCAT346.1')
('T054410', 'THCAT450')
('T161272', 'LSCAT30.2')
('T228037', 'COL18A1-AS1.2')
('T254672', 'CAT471')
('T107161', 'CAT1688.2')
('T262085', 'CAT523.1')
('T379777', 'CVAT38')
('T237047', 'ITPR1-AS1')
('T328343', 'KHCAT66')
('T071522', 'CAT1454')
('T098795', 'CAT1631')
('T049499', 'CAT1307')
('T030339', 'CAT162.2')
('T366719', 'CAT1196')
('T181485', 'CAT2133.1')
('T117069', 'CAT1749')
('T120699', 'CAT1779.1')
('T196898', 'THCAT262.2')
('T078556', 'CAT1513')
('T264867', 'KHCAT40.2')
('T108433', 'LSCAT4.2')
('T140691', 'MIR497HG.1')
('T150556', 'CAT1953.1')
('T309168', 'OSTM1-AS1.2')
('T000487', 'CAT3')
('T101373', 'PRCAT308')
('T148268', 'OVAT62.2')
('T339298', 'MEAT12.2')
('T255144', 'MEAT98')
('T360304', 'PRCAT102.2')
('T203106', 'CAT331.3')
('T354908', 'HICLINC214.7')
('T379285', 'THCAT505')
('T094390', 'LINC01077.8')
('T291002', 'LSCAT19')
('T164334', 'CAT2031')
('T166536', 'KCCAT275')
('T187850', 'CYP1B1-AS1.2')
('T255488', 'LGAT79.2')
('T025503', 'LGAT100')
('T324410', 'CAT941.1')
('T366403', 'MIR181A2HG.1')
('T210146', 'KCCAT228.1')
('T294607', 'BRCAT5.3')
('T302963', 'LSCAT252')
('T359271', 'CAT1145.1')
('T156674', 'CAT1985')
('T359794', 'LACAT41')
('T193502', 'THCAT511')
('T353045', 'CAT1113.3')
('T262083', 'CAT523.2')
('T162576', 'LSCAT6.1')
('T050283', 'CAT1315')
('T311396', 'CAT862.3')
('T038413', 'LACAT216')
('T368707', 'CAT1208.2')
('T189121', 'OVAT165')
('T301840', 'HCG25.1')
('T164466', 'HNCAT233')
('T203522', 'HICLINC82')
('T296588', 'PRCAT13.1')
('T162573', 'CAT2020.4')
('T125424', 'KHCAT2')
('T113975', 'KHCAT313')
('T257567', 'LINC00887.6')
('T275948', 'CAT626')
('T271563', 'OVAT45.1')
('T189806', 'CAT242.2')
('T334067', 'BRCAT286.1')
('T062875', 'CAT1384.2')
('T145773', 'HNCAT115')
('T172636', 'HICLINC365.4')
('T320751', 'KHCAT396')
('T002825', 'CAT14.1')
('T281869', 'BRCAT54.2')
('T059190', 'CAT1361.2')
('T305163', 'TRAM2-AS1.2')
('T274966', 'CAT609')
('T227650', 'CAT2217.1')
('T032262', 'KHCAT6')
('T100203', 'STCAT7')
('T226847', 'KHCAT307')
('T099549', 'ATP11A-AS1')
('T096181', 'LSCAT51')
('T358162', 'CAT1141.3')
('T201882', 'LSCAT170')
('T113164', 'KCCAT186.2')
('T226039', 'PRCAT70')
('T160532', 'CAT2009.1')
('T156741', 'MAFG-AS1.2')
('T169067', 'UTAT13')
('T027960', 'CAT151.3')
('T075833', 'CAT1487')
('T009268', 'LSCAT41')
('T225781', 'CAT2207')
('T140211', 'HNCAT52')
('T314065', 'BRCAT275')
('T006958', 'OVAT126')
('T341586', 'CAT1021')
('T110884', 'CAT1704.2')
('T122676', 'CAT1789.3')
